Sample	Total_reads	Uniq_Rate	Multi_Rate	Unmap_Rate
MG-Sal-WT-1F	14163830	88.57	4.26	 7.17
MG-Sal-WT-2F	15407000	89.76	4.17	 6.07
MG-Sal-WT-3M	19455104	90.26	3.94	 5.80
MG-Sal-WT-4M	17714624	89.03	4.07	 6.90
MG-Sal-KO-1F	14429702	89.23	4.23	 6.54
MG-Sal-KO-2F	14120898	89.12	4.22	 6.66
MG-Sal-KO-3F	15091374	89.91	3.82	 6.27
MG-LPS-WT-10F	14991783	86.23	6.03	 7.74
MG-LPS-WT-11F	14363456	88.52	5.18	 6.30
MG-LPS-WT-12F	17075487	87.98	4.96	 7.06
MG-LPS-WT-5F	14263211	88.08	4.97	 6.95
MG-LPS-WT-6F	13451060	88.51	4.80	 6.69
MG-LPS-WT-11M	15364177	88.80	4.77	 6.43
MG-LPS-WT-1M	14911753	89.24	3.82	 6.94
MG-LPS-WT-8M	13232750	87.15	5.42	 7.43
MG-LPS-WT-9M	14247389	87.17	5.30	 7.53
MG-LPS-Het-10F	18741728	88.15	5.03	 6.82
MG-LPS-Het-6F	18019149	87.69	5.40	 6.91
MG-LPS-Het-9F	16395085	89.26	4.69	 6.05
MG-LPS-Het-3M	16451993	87.64	5.70	 6.66
MG-LPS-Het-4M	16032627	87.27	5.83	 6.90
MG-LPS-Het-5M	16799448	87.54	5.42	 7.04
MG-LPS-Het-7M	15475476	89.52	4.15	 6.33
MG-LPS-Het-8M	16353038	89.16	5.01	 5.83
MG-LPS-KO-12F	15651561	88.39	4.98	 6.63
MG-LPS-KO-13F	15190526	90.01	4.34	 5.65
MG-LPS-KO-8F	15427831	87.83	5.36	 6.81
MG-LPS-KO-9F	15020164	88.32	5.08	 6.60
MG-LPS-KO-10M	16021540	87.98	5.37	 6.65
MG-LPS-KO-11M	15846342	87.68	5.29	 7.03
MG-LPS-KO-14M	12799543	87.46	5.35	 7.19
PC-Sal-WT-1F	15309587	76.21	10.25	13.54
PC-Sal-WT-2F	13026263	83.37	7.63	 9.00
PC-Sal-WT-3M	13420251	85.37	7.34	 7.29
PC-Sal-WT-4M	13749933	83.75	8.02	 8.23
PC-Sal-KO-1F	13463794	84.22	7.33	 8.45
PC-Sal-KO-2F	13247855	84.40	7.29	 8.31
PC-Sal-KO-3F	14881902	83.39	8.04	 8.57
PC-LPS-WT-10F	14539690	82.52	8.15	 9.33
PC-LPS-WT-11F	14931683	84.07	7.46	 8.47
PC-LPS-WT-12F	14354036	83.95	7.36	 8.69
PC-LPS-WT-5F	14232601	83.82	7.74	 8.44
PC-LPS-WT-6F	17727513	84.68	7.27	 8.05
PC-LPS-WT-11M	14547045	82.79	8.59	 8.62
PC-LPS-WT-1M	14720474	82.24	9.26	 8.50
PC-LPS-WT-8M	14645733	84.78	7.13	 8.09
PC-LPS-WT-9M	14365891	84.09	7.28	 8.63
PC-LPS-Het-10F	17552120	82.88	7.91	 9.21
PC-LPS-Het-6F	23062607	83.78	7.51	 8.71
PC-LPS-Het-9F	15993872	82.94	8.51	 8.55
PC-LPS-Het-3M	13030856	84.03	7.11	 8.86
PC-LPS-Het-4M	16035488	83.70	7.60	 8.70
PC-LPS-Het-5M	20145767	85.20	7.07	 7.73
PC-LPS-Het-7M	15000814	83.69	7.77	 8.54
PC-LPS-Het-8M	14740993	83.70	7.75	 8.55
PC-LPS-KO-12F	23553389	83.33	7.73	 8.94
PC-LPS-KO-13F	17919801	83.97	7.65	 8.38
PC-LPS-KO-8F	13703747	82.36	7.88	 9.76
PC-LPS-KO-9F	23303529	83.62	7.46	 8.92
PC-LPS-KO-10M	18811184	83.98	7.84	 8.18
PC-LPS-KO-11M	20767813	84.04	7.67	 8.29
PC-LPS-KO-14M	20905864	84.36	7.62	 8.02
