Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
1yr-KO-13M	37.88	-35.7	5.97	-16.69	-26.06	-13.55	-2.26	-32.9	-27.68	12.4
1yr-KO-14M	53.46	-2.84	-0.61	-31.09	-18.5	-36.23	-11.11	-2.07	-5.39	17.17
1yr-KO-15M	34.42	-49.67	10.26	-32.39	-20.19	-32.65	5.18	41.55	-6.65	10.97
1yr-KO-16M	31.87	-39.8	5.72	-34.27	-23.03	-16.57	1.08	9.89	0.68	9.6
1yr-KO-6M	37.24	-19.91	-3.56	-12.59	-18.55	-43.55	19.79	4.69	6.48	-0.84
1yr-KO-7M	42.4	-27.15	17.67	-22.58	-26.94	-45.57	-4.63	-10.33	5.38	-3.81
2yr-WT-1F	34.41	56.37	0.79	27.81	25.48	5.38	-16.36	12.54	-0.93	-2.56
2yr-WT-2F	42.86	34.45	0.24	-34.38	-42.84	-35.99	-110.57	-42.45	-30.52	44.74
2yr-WT-3F	39.51	60.39	-5.41	15.71	39.8	8.57	1.05	-6.99	-2.37	16.56
2yr-WT-5F	47.5	46.09	3.44	10.3	15.15	1.1	3.36	7.57	7.29	-16.36
2yr-WT-6F	39.33	40.03	13.23	39.77	21.56	13.91	8.43	17.48	2.51	-14.14
2yr-WT-7F	40.63	62.47	-31.15	7.16	12.47	18.57	-7.33	-2.78	8.72	-27.69
2yr-WT-8F	28.1	28.01	-31.94	56.03	31.8	26.73	-13.15	39.23	-15.85	19.1
2yr-WT-10M	34.76	53.55	-13.76	19.28	15.53	-13.48	-13.18	32.55	-20.37	26.85
2yr-WT-4M	40.32	37.01	31.02	17.5	21.98	-43.04	6.1	-16.81	2.36	8.51
2yr-WT-9M	47.95	36.66	7.76	8.45	12.44	-4.39	-5.11	2.62	-8.79	20.01
2yr-Het-2F	47.18	39.69	4.71	12.73	-13.08	22.2	8.01	8.46	11.17	-3.08
2yr-Het-6F	52.49	26.72	16.85	31.21	-2.24	16.64	7.69	22.17	-0.67	-22.46
2yr-Het-7F	59.28	32.07	-5.4	10.56	-9.53	27.02	0.79	-8.72	14.92	-30.32
2yr-Het-8F	49.16	42.71	-21.79	9.01	7.39	37.66	-29.39	24.71	-9.46	18.05
2yr-Het-1M	54.79	36.48	26	-11.42	-29.89	-16.6	3.69	1.57	16.65	-7.13
2yr-Het-3M	50.36	33.06	28.32	-5.84	-19.28	-12.43	14.98	4.52	10.16	-23.69
2yr-Het-4M	42.53	22.76	-17.73	28.24	-14.05	14.64	-20.98	22.46	-13.18	11.34
2yr-Het-5M	71.98	27.34	25.78	3.68	-14.31	-21.83	9.87	-5.29	28.11	-3.48
2yr-KO-4F	68.35	32.52	15.87	-14.35	-4.54	-17.33	15.7	-18.29	8.44	-17.2
2yr-KO-7F	50.31	32.57	-12.51	22.99	-3.44	-26.87	18.06	-2	-1.66	-21
2yr-KO-8F	37.83	23.2	-11.96	38.27	-18.59	46.22	-13.29	25.49	17.62	-9.13
2yr-KO-9F	55.61	30.83	-38.71	17.82	-0.34	-6.21	-0.72	7.55	9.21	-24.28
2yr-KO-10M	65.81	15.08	1.99	0.25	-11.46	-47.85	7.07	-14.46	6.68	-17.65
2yr-KO-11M	67.75	-11.89	35.28	50.01	-23.84	-17.03	16.94	6.88	11.85	-23.06
2yr-KO-12M	52.08	16.49	-8.98	9.92	-25.94	12.01	-8.98	29.12	12.38	5.19
2yr-KO-1M	21.59	40.59	1.77	75.87	34.39	-2.5	6.14	3.85	-18.62	-8.64
2yr-KO-2M	61.49	33.19	7.11	-14.02	-35.74	-28.91	-0.5	1.15	16.4	-1.94
2yr-KO-3M	57.69	40.22	-9.73	-0.54	-18.74	-19.32	2.25	5.46	-1.6	2.36
2yr-KO-6M	50.07	36.73	-12.09	-4.53	-25	-12.93	-0.98	14.59	-2.83	-9.73
