Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
2mo-WT-10F	-53.31	4.02	18.98	-15.76	15.03	-1.64	33.6	-2.94	13.44	-24.96
2mo-WT-11F	-68.41	25.11	36.25	14.44	10.74	9.36	19.21	-25.48	10.28	-1.74
2mo-WT-6F	-70.89	10.24	60.08	32.69	55.31	-21.03	16.77	-19.45	-9.37	-22.75
2mo-WT-7F	-93.1	16.9	-21.73	-3.62	41.14	-14.37	-6.23	20.19	-35.03	-9.05
2mo-WT-8F	-96.7	18.94	29.9	0.19	52.22	29.89	27.11	12.52	-4.49	28.64
2mo-WT-9F	-93.38	34.16	-10.35	-34.65	-9.8	-12.51	-8.91	13.08	17.64	-16.69
2mo-WT-1M	-85.99	32.69	46.11	26.37	21.73	-27.52	9.68	-10.55	-12.19	10.04
2mo-WT-2M	-82.05	39.69	32.68	23	15.75	-31.09	3.18	-28.19	-9.36	26.36
2mo-WT-3M	-84.49	25.13	40.34	-20.1	23.11	-26.48	8.13	-1.93	2	20.65
2mo-WT-4M	-101.15	35.08	28.79	-14.11	31.24	-37.56	-9.33	17.53	19.19	-22.33
2mo-WT-5M	-108.34	26.14	20.21	-35.96	31.77	-50.32	1.47	22.5	2.83	16.06
2mo-Het-3F	-56.91	8.78	19.73	-2.57	-27.84	43.34	20.54	-21.88	-1.13	-20.77
2mo-Het-4F	-52.2	6	16.56	8.66	-14.57	45.26	19.94	-23.05	7.48	9.81
2mo-Het-5F	-75.11	-0.37	4.64	-44.87	-0.11	-12.75	5.54	-29.7	17.98	-6.76
2mo-Het-6F	-95.12	-23.67	2.92	-52.25	-0.08	57.77	-79.65	55.84	63.56	-66.41
2mo-Het-10M	-94.62	37.27	-8.47	-48.64	52.97	-20.11	-27.32	12.1	7.23	-13.13
2mo-Het-1M	-44.28	-12.73	29.71	20.21	-70.01	20.64	26.25	-13.69	3.81	-3.1
2mo-Het-2M	-58.42	6.65	12.6	12.67	-29.63	8.13	4.31	-4.83	-10.53	20.7
2mo-Het-7M	-74.58	-7.48	21.57	-12.06	-46.5	30.07	-6.56	5.57	-11.41	0.99
2mo-Het-9M	-75.7	21.47	1.34	-68.71	-0.54	4.02	-17.84	10.68	22	-14.94
2mo-KO-4F	-49.08	-14.24	-14.64	30.04	-42.9	19.49	21.5	-6.66	8.95	1.15
2mo-KO-5F	-57.27	-10.29	-23.58	19.29	-32.95	17.03	21.84	-21.44	-1.25	11.09
2mo-KO-6F	-43.73	-3.83	7.19	29.02	-22.61	35.48	18.93	-2.69	3.12	28.45
2mo-KO-7F	-86.21	-35.06	-132.77	48.17	-11.17	-32.06	-6.86	-10.11	13.39	-11.34
2mo-KO-8F	-83.23	-46.9	-120.94	45.86	-22.72	-37.48	-18.16	-7.57	12.68	-2.88
2mo-KO-10M	-66.79	4.11	-8.89	16.71	-26.19	-6.38	14.74	-16.9	-21.97	24.21
2mo-KO-11M	-68.36	-1.58	5.64	18.38	-39.62	16.48	-10.26	-21.48	-18.12	21.8
2mo-KO-12M	-65.53	2.54	26.42	17.01	-47.09	23.66	31.13	-8.93	5.73	-9.11
2mo-KO-13M	-69.62	-0.27	-0.02	-45.03	-19.6	-5.41	-8.91	22.34	-11.67	5.9
2mo-KO-2M	-75.97	-49.96	-32.22	67.05	-58.32	-35.11	-35.31	14.8	-57.47	12.5
2mo-KO-9M	-56.79	2.78	17.18	22.95	-35.56	0.38	4.69	-0.87	4.07	13.16
1yr-WT-2F	24.97	13.71	-21.14	-50.96	25.63	8.76	-7.58	-10.7	5.96	24.89
1yr-WT-3F	27.19	-4.46	-63.28	-36.27	29.36	5.57	1.62	-12.42	21.74	3.11
1yr-WT-4F	24.01	-23.97	-27.14	-33.74	19.78	27.05	-6.25	-32.97	-16.4	-2.02
1yr-WT-5F	4.64	-40.7	-56.2	31.96	52.6	32.92	-2.3	29.18	-39.87	52.84
1yr-WT-6F	22.63	-4.84	8.25	-21.18	12.59	45.64	17.59	14.71	-2.37	27.51
1yr-WT-7F	37.04	-54.89	31.26	-8.37	30.71	42.27	3.13	-20.08	-14.61	15.11
1yr-WT-8F	36.9	-52.18	8.47	-15.63	20.76	57.54	26.44	-8.48	-7.28	26.87
1yr-WT-10M	22.92	-104.45	100.18	101.34	44.9	12.57	-137.6	-68.36	56.46	2.76
1yr-WT-11M	23.05	-117.3	55.52	24.95	25.85	-45.21	7.95	85.54	-50.03	-91.32
1yr-WT-9M	34.55	-113.29	66.55	12.33	28.66	-10.36	32.82	51.45	-9.97	52.68
1yr-Het-1F	-24.64	-48.01	-48.97	48.61	5.22	11.6	14.03	6.93	52.38	-62.69
1yr-Het-5F	28.01	-4.32	-13.35	-45.98	29.91	26	-0.69	-9.25	24.25	4.39
1yr-Het-6F	31.71	-41.04	-0.89	-44.67	15.3	45.71	21.91	-76.4	-109.63	-88.54
1yr-Het-7F	32.29	-19.52	-0.02	-33.08	23.07	-27.54	-6.85	-70.98	-16.63	-24.21
1yr-Het-8F	39	-89.61	-59.27	12.3	49.46	-30.4	74.18	-45.03	102.89	36.27
1yr-Het-9F	29.42	-17.6	-50.22	-25.29	12.53	-0.05	-6.71	-18.41	0.24	12.05
1yr-Het-11M	31.5	-12.42	-0.36	-44.19	-11.33	7.72	1.57	25.73	13.45	34.49
1yr-Het-12M	29.03	-27.98	21.69	-29.7	-18.72	12.38	-3.94	-9.08	-16.35	13.76
1yr-Het-14M	15.39	-77.11	4.08	-50.62	-7.9	-9.3	-19.95	63.54	4.29	28.33
1yr-Het-2M	34.67	-33.85	21.84	-14.66	-15.16	-19.59	23.48	-4.11	23.02	-3.28
1yr-Het-4M	41.82	-41.09	31.11	-22.42	-27.43	-6.99	10.5	-2.8	16.47	3.95
1yr-KO-11F	13.89	-34.14	-88.09	-2.23	22.36	-19.75	-4.52	-5.48	-38.93	-27.95
1yr-KO-1F	1.61	-0.54	-5.91	11.81	35.57	-26.62	16.17	-2.93	-46.11	24.56
1yr-KO-2F	10.75	-9.95	4.97	-15.2	-20.36	49	7.66	25.29	-1.78	9.07
1yr-KO-3F	5.82	-4.41	-6.8	-1.23	-9.92	45.34	7.68	-3	-1.98	-5.72
1yr-KO-8F	26.03	1.25	-39.51	-38.81	29.14	22.39	-3.62	-3.71	-1.02	3.85
1yr-KO-9F	34.11	-18.92	-12.48	-41.31	12.34	18.35	-37.5	-9.97	-9.96	-10.98
