Sample	2mo-WT-10F	2mo-WT-11F	2mo-WT-6F	2mo-WT-7F	2mo-WT-8F	2mo-WT-9F	2mo-WT-1M	2mo-WT-2M	2mo-WT-3M	2mo-WT-4M	2mo-WT-5M	2mo-Het-3F	2mo-Het-4F	2mo-Het-5F	2mo-Het-6F	2mo-Het-10M	2mo-Het-1M	2mo-Het-2M	2mo-Het-7M	2mo-Het-9M	2mo-KO-4F	2mo-KO-5F	2mo-KO-6F	2mo-KO-7F	2mo-KO-8F	2mo-KO-10M	2mo-KO-11M	2mo-KO-12M	2mo-KO-13M	2mo-KO-2M	2mo-KO-9M	1yr-WT-2F	1yr-WT-3F	1yr-WT-4F	1yr-WT-5F	1yr-WT-6F	1yr-WT-7F	1yr-WT-8F	1yr-WT-10M	1yr-WT-11M	1yr-WT-9M	1yr-Het-1F	1yr-Het-5F	1yr-Het-6F	1yr-Het-7F	1yr-Het-8F	1yr-Het-9F	1yr-Het-11M	1yr-Het-12M	1yr-Het-14M	1yr-Het-2M	1yr-Het-4M	1yr-KO-11F	1yr-KO-1F	1yr-KO-2F	1yr-KO-3F	1yr-KO-8F	1yr-KO-9F	1yr-KO-13M	1yr-KO-14M	1yr-KO-15M	1yr-KO-16M	1yr-KO-6M	1yr-KO-7M	2yr-WT-1F	2yr-WT-2F	2yr-WT-3F	2yr-WT-5F	2yr-WT-6F	2yr-WT-7F	2yr-WT-8F	2yr-WT-10M	2yr-WT-4M	2yr-WT-9M	2yr-Het-2F	2yr-Het-6F	2yr-Het-7F	2yr-Het-8F	2yr-Het-1M	2yr-Het-3M	2yr-Het-4M	2yr-Het-5M	2yr-KO-4F	2yr-KO-7F	2yr-KO-8F	2yr-KO-9F	2yr-KO-10M	2yr-KO-11M	2yr-KO-12M	2yr-KO-1M	2yr-KO-2M	2yr-KO-3M	2yr-KO-6M
1yr-WT-2F	0.865	0.861	0.849	0.846	0.844	0.852	0.849	0.847	0.852	0.848	0.844	0.865	0.869	0.853	0.839	0.852	0.863	0.867	0.855	0.856	0.865	0.865	0.865	0.831	0.839	0.862	0.857	0.857	0.858	0.839	0.865	1	0.872	0.876	0.86	0.876	0.871	0.874	0.85	0.858	0.865	0.85	0.872	0.857	0.871	0.857	0.879	0.876	0.875	0.862	0.876	0.867	0.861	0.866	0.873	0.872	0.871	0.872	0.873	0.875	0.868	0.875	0.871	0.872	0.872	0.854	0.876	0.879	0.868	0.87	0.864	0.875	0.87	0.872	0.876	0.878	0.87	0.875	0.872	0.874	0.868	0.875	0.873	0.872	0.869	0.874	0.877	0.872	0.872	0.866	0.871	0.875	0.875
1yr-WT-3F	0.856	0.85	0.842	0.843	0.837	0.85	0.837	0.845	0.85	0.841	0.833	0.862	0.86	0.848	0.834	0.84	0.854	0.861	0.85	0.846	0.86	0.864	0.861	0.844	0.843	0.856	0.851	0.851	0.856	0.837	0.856	0.872	1	0.875	0.866	0.873	0.862	0.869	0.846	0.853	0.854	0.858	0.869	0.857	0.865	0.861	0.879	0.871	0.867	0.863	0.87	0.867	0.865	0.859	0.866	0.865	0.871	0.866	0.872	0.865	0.865	0.875	0.869	0.863	0.864	0.842	0.871	0.874	0.864	0.868	0.864	0.869	0.867	0.865	0.869	0.87	0.867	0.865	0.869	0.868	0.868	0.867	0.865	0.869	0.865	0.872	0.869	0.871	0.87	0.861	0.87	0.873	0.87
1yr-WT-4F	0.864	0.856	0.851	0.848	0.845	0.851	0.849	0.855	0.853	0.848	0.839	0.869	0.871	0.858	0.841	0.845	0.864	0.868	0.862	0.856	0.862	0.868	0.867	0.842	0.84	0.865	0.858	0.859	0.857	0.844	0.861	0.876	0.875	1	0.868	0.876	0.872	0.876	0.852	0.86	0.864	0.86	0.869	0.866	0.871	0.857	0.878	0.873	0.875	0.868	0.874	0.871	0.864	0.859	0.871	0.87	0.873	0.873	0.882	0.873	0.863	0.878	0.872	0.872	0.868	0.851	0.869	0.877	0.87	0.873	0.866	0.869	0.869	0.871	0.875	0.875	0.866	0.866	0.874	0.871	0.872	0.871	0.867	0.872	0.87	0.875	0.87	0.872	0.872	0.867	0.87	0.871	0.872
1yr-WT-5F	0.858	0.853	0.853	0.851	0.847	0.848	0.851	0.852	0.85	0.845	0.84	0.858	0.866	0.848	0.833	0.846	0.858	0.866	0.854	0.846	0.865	0.864	0.865	0.856	0.852	0.864	0.858	0.854	0.855	0.85	0.861	0.86	0.866	0.868	1	0.869	0.863	0.868	0.848	0.857	0.858	0.859	0.862	0.848	0.854	0.854	0.869	0.869	0.868	0.855	0.862	0.86	0.863	0.859	0.866	0.869	0.862	0.863	0.867	0.863	0.858	0.868	0.863	0.858	0.864	0.838	0.868	0.868	0.866	0.865	0.867	0.867	0.857	0.867	0.864	0.87	0.86	0.862	0.858	0.861	0.866	0.856	0.855	0.865	0.868	0.869	0.858	0.864	0.865	0.864	0.855	0.86	0.865
1yr-WT-6F	0.866	0.866	0.859	0.853	0.857	0.859	0.857	0.855	0.861	0.852	0.85	0.875	0.874	0.858	0.843	0.851	0.873	0.872	0.869	0.862	0.869	0.872	0.875	0.832	0.839	0.868	0.865	0.872	0.865	0.844	0.871	0.876	0.873	0.876	0.869	1	0.879	0.881	0.858	0.864	0.868	0.862	0.873	0.863	0.868	0.856	0.879	0.883	0.879	0.87	0.878	0.875	0.861	0.87	0.882	0.879	0.872	0.87	0.881	0.873	0.871	0.882	0.877	0.876	0.877	0.851	0.882	0.883	0.88	0.874	0.873	0.878	0.88	0.879	0.883	0.88	0.874	0.872	0.88	0.881	0.877	0.876	0.874	0.877	0.877	0.878	0.873	0.881	0.88	0.87	0.874	0.876	0.878
1yr-WT-7F	0.864	0.86	0.852	0.844	0.845	0.848	0.847	0.851	0.857	0.846	0.838	0.867	0.867	0.855	0.837	0.843	0.861	0.867	0.858	0.853	0.862	0.864	0.865	0.826	0.831	0.86	0.856	0.861	0.856	0.843	0.865	0.871	0.862	0.872	0.863	0.879	1	0.875	0.862	0.864	0.867	0.856	0.868	0.862	0.865	0.853	0.875	0.872	0.878	0.865	0.874	0.872	0.854	0.862	0.869	0.868	0.865	0.868	0.876	0.87	0.869	0.872	0.869	0.873	0.865	0.846	0.873	0.875	0.871	0.863	0.864	0.868	0.872	0.871	0.874	0.878	0.871	0.865	0.872	0.869	0.867	0.872	0.868	0.872	0.867	0.87	0.874	0.878	0.872	0.863	0.866	0.869	0.865
1yr-WT-8F	0.864	0.859	0.854	0.845	0.847	0.849	0.85	0.849	0.855	0.847	0.84	0.869	0.872	0.856	0.838	0.845	0.866	0.867	0.863	0.856	0.865	0.872	0.87	0.833	0.836	0.864	0.861	0.859	0.861	0.84	0.864	0.874	0.869	0.876	0.868	0.881	0.875	1	0.858	0.864	0.871	0.861	0.872	0.863	0.867	0.859	0.875	0.879	0.881	0.865	0.876	0.869	0.862	0.863	0.878	0.874	0.869	0.871	0.879	0.873	0.873	0.877	0.871	0.873	0.868	0.848	0.874	0.874	0.875	0.866	0.868	0.868	0.871	0.874	0.876	0.881	0.873	0.866	0.875	0.874	0.873	0.873	0.87	0.871	0.872	0.872	0.876	0.876	0.873	0.866	0.874	0.87	0.871
1yr-WT-10M	0.848	0.854	0.856	0.837	0.839	0.841	0.851	0.854	0.849	0.847	0.835	0.856	0.859	0.843	0.831	0.839	0.858	0.859	0.854	0.843	0.854	0.853	0.856	0.82	0.827	0.853	0.857	0.853	0.846	0.839	0.86	0.85	0.846	0.852	0.848	0.858	0.862	0.858	1	0.856	0.857	0.849	0.851	0.84	0.854	0.837	0.853	0.855	0.861	0.849	0.861	0.858	0.838	0.848	0.857	0.856	0.846	0.853	0.861	0.854	0.853	0.86	0.857	0.863	0.862	0.838	0.859	0.861	0.861	0.85	0.853	0.853	0.866	0.859	0.86	0.866	0.854	0.852	0.858	0.859	0.859	0.86	0.85	0.854	0.859	0.853	0.858	0.869	0.858	0.861	0.855	0.853	0.853
1yr-WT-11M	0.86	0.851	0.855	0.847	0.84	0.85	0.85	0.847	0.854	0.848	0.843	0.859	0.858	0.848	0.837	0.843	0.86	0.861	0.857	0.849	0.858	0.857	0.858	0.829	0.833	0.858	0.855	0.858	0.857	0.843	0.86	0.858	0.853	0.86	0.857	0.864	0.864	0.864	0.856	1	0.867	0.854	0.855	0.852	0.859	0.849	0.861	0.862	0.87	0.863	0.869	0.867	0.854	0.854	0.863	0.86	0.855	0.861	0.867	0.861	0.867	0.871	0.867	0.869	0.858	0.838	0.855	0.864	0.862	0.851	0.854	0.861	0.863	0.861	0.861	0.871	0.856	0.851	0.865	0.867	0.861	0.861	0.857	0.86	0.856	0.859	0.866	0.875	0.861	0.86	0.859	0.859	0.859
1yr-WT-9M	0.858	0.854	0.852	0.84	0.84	0.844	0.848	0.848	0.852	0.844	0.842	0.856	0.861	0.847	0.834	0.84	0.863	0.861	0.859	0.849	0.857	0.858	0.858	0.822	0.831	0.857	0.852	0.855	0.854	0.84	0.859	0.865	0.854	0.864	0.858	0.868	0.867	0.871	0.857	0.867	1	0.851	0.86	0.851	0.861	0.85	0.862	0.869	0.872	0.862	0.871	0.869	0.847	0.855	0.865	0.86	0.855	0.858	0.867	0.862	0.865	0.87	0.871	0.868	0.858	0.84	0.86	0.867	0.862	0.85	0.856	0.859	0.865	0.862	0.864	0.869	0.857	0.857	0.868	0.867	0.86	0.865	0.858	0.866	0.857	0.86	0.867	0.871	0.863	0.858	0.861	0.86	0.861
1yr-Het-1F	0.86	0.859	0.853	0.849	0.845	0.855	0.848	0.849	0.851	0.849	0.839	0.865	0.868	0.85	0.84	0.843	0.862	0.862	0.859	0.848	0.865	0.865	0.862	0.861	0.861	0.861	0.857	0.863	0.855	0.852	0.862	0.85	0.858	0.86	0.859	0.862	0.856	0.861	0.849	0.854	0.851	1	0.854	0.842	0.846	0.848	0.862	0.86	0.858	0.852	0.862	0.854	0.858	0.852	0.859	0.861	0.849	0.851	0.861	0.851	0.849	0.86	0.86	0.853	0.855	0.826	0.856	0.86	0.862	0.856	0.856	0.853	0.852	0.855	0.858	0.864	0.856	0.85	0.855	0.858	0.854	0.852	0.847	0.862	0.86	0.862	0.857	0.861	0.858	0.859	0.851	0.852	0.854
1yr-Het-5F	0.86	0.855	0.849	0.841	0.841	0.849	0.843	0.848	0.849	0.841	0.836	0.862	0.865	0.851	0.834	0.848	0.86	0.861	0.854	0.854	0.862	0.858	0.858	0.827	0.831	0.855	0.848	0.856	0.855	0.836	0.861	0.872	0.869	0.869	0.862	0.873	0.868	0.872	0.851	0.855	0.86	0.854	1	0.857	0.861	0.853	0.871	0.872	0.872	0.856	0.871	0.871	0.857	0.855	0.871	0.867	0.869	0.867	0.871	0.868	0.866	0.873	0.871	0.871	0.867	0.845	0.87	0.87	0.869	0.866	0.864	0.865	0.866	0.87	0.872	0.872	0.868	0.863	0.869	0.868	0.866	0.867	0.868	0.868	0.865	0.871	0.868	0.87	0.87	0.861	0.869	0.869	0.869
1yr-Het-6F	0.85	0.846	0.844	0.838	0.831	0.84	0.836	0.836	0.84	0.833	0.828	0.857	0.855	0.842	0.827	0.835	0.855	0.853	0.852	0.845	0.852	0.854	0.849	0.82	0.825	0.854	0.847	0.85	0.848	0.829	0.849	0.857	0.857	0.866	0.848	0.863	0.862	0.863	0.84	0.852	0.851	0.842	0.857	1	0.857	0.844	0.862	0.859	0.865	0.851	0.858	0.862	0.852	0.849	0.863	0.859	0.857	0.859	0.866	0.859	0.856	0.865	0.861	0.86	0.857	0.837	0.858	0.863	0.86	0.854	0.849	0.854	0.857	0.858	0.86	0.864	0.859	0.853	0.86	0.861	0.857	0.858	0.856	0.86	0.855	0.858	0.861	0.861	0.858	0.851	0.859	0.859	0.861
1yr-Het-7F	0.857	0.853	0.852	0.84	0.836	0.846	0.843	0.85	0.85	0.837	0.837	0.861	0.862	0.853	0.831	0.841	0.858	0.861	0.851	0.85	0.854	0.862	0.857	0.828	0.833	0.859	0.855	0.853	0.853	0.836	0.857	0.871	0.865	0.871	0.854	0.868	0.865	0.867	0.854	0.859	0.861	0.846	0.861	0.857	1	0.85	0.873	0.866	0.872	0.856	0.873	0.868	0.861	0.856	0.861	0.864	0.864	0.866	0.874	0.867	0.863	0.871	0.869	0.872	0.865	0.846	0.869	0.87	0.865	0.863	0.855	0.861	0.868	0.869	0.87	0.874	0.862	0.861	0.872	0.873	0.861	0.872	0.867	0.873	0.858	0.87	0.872	0.87	0.865	0.863	0.868	0.87	0.866
1yr-Het-8F	0.844	0.836	0.831	0.833	0.827	0.834	0.831	0.834	0.833	0.828	0.826	0.844	0.849	0.838	0.82	0.827	0.843	0.847	0.84	0.835	0.852	0.854	0.847	0.838	0.839	0.851	0.84	0.844	0.84	0.829	0.848	0.857	0.861	0.857	0.854	0.856	0.853	0.859	0.837	0.849	0.85	0.848	0.853	0.844	0.85	1	0.863	0.858	0.855	0.848	0.86	0.858	0.855	0.846	0.853	0.853	0.856	0.854	0.858	0.856	0.853	0.858	0.86	0.858	0.848	0.83	0.856	0.856	0.856	0.849	0.851	0.851	0.854	0.856	0.855	0.856	0.85	0.847	0.855	0.851	0.853	0.858	0.849	0.856	0.851	0.861	0.861	0.862	0.856	0.85	0.853	0.855	0.854
1yr-Het-9F	0.86	0.856	0.849	0.849	0.844	0.853	0.847	0.852	0.852	0.841	0.838	0.863	0.865	0.85	0.839	0.846	0.865	0.867	0.86	0.853	0.866	0.869	0.867	0.849	0.852	0.865	0.859	0.859	0.856	0.846	0.862	0.879	0.879	0.878	0.869	0.879	0.875	0.875	0.853	0.861	0.862	0.862	0.871	0.862	0.873	0.863	1	0.876	0.876	0.867	0.877	0.874	0.868	0.868	0.87	0.872	0.875	0.872	0.878	0.876	0.87	0.878	0.88	0.877	0.87	0.854	0.876	0.879	0.872	0.87	0.869	0.875	0.87	0.872	0.879	0.878	0.871	0.864	0.877	0.874	0.873	0.874	0.865	0.877	0.872	0.881	0.875	0.874	0.876	0.865	0.871	0.872	0.877
1yr-Het-11M	0.863	0.856	0.855	0.848	0.846	0.857	0.846	0.852	0.859	0.852	0.846	0.869	0.872	0.857	0.843	0.849	0.87	0.87	0.864	0.86	0.869	0.867	0.87	0.833	0.836	0.865	0.86	0.867	0.865	0.845	0.866	0.876	0.871	0.873	0.869	0.883	0.872	0.879	0.855	0.862	0.869	0.86	0.872	0.859	0.866	0.858	0.876	1	0.884	0.872	0.88	0.882	0.862	0.865	0.879	0.873	0.872	0.874	0.88	0.879	0.876	0.883	0.88	0.881	0.87	0.857	0.876	0.878	0.877	0.869	0.87	0.875	0.874	0.881	0.877	0.882	0.872	0.871	0.879	0.882	0.874	0.881	0.876	0.877	0.871	0.878	0.88	0.879	0.879	0.864	0.875	0.875	0.878
1yr-Het-12M	0.867	0.86	0.859	0.847	0.851	0.857	0.856	0.855	0.857	0.851	0.845	0.877	0.872	0.86	0.843	0.848	0.872	0.873	0.869	0.859	0.867	0.869	0.871	0.835	0.836	0.866	0.863	0.866	0.866	0.849	0.87	0.875	0.867	0.875	0.868	0.879	0.878	0.881	0.861	0.87	0.872	0.858	0.872	0.865	0.872	0.855	0.876	0.884	1	0.868	0.879	0.881	0.86	0.862	0.878	0.876	0.866	0.872	0.887	0.879	0.874	0.882	0.877	0.879	0.869	0.86	0.873	0.879	0.874	0.869	0.868	0.872	0.877	0.878	0.88	0.878	0.878	0.866	0.881	0.882	0.875	0.88	0.872	0.875	0.87	0.878	0.88	0.882	0.877	0.868	0.877	0.876	0.876
1yr-Het-14M	0.857	0.847	0.843	0.843	0.836	0.847	0.839	0.844	0.853	0.844	0.843	0.858	0.858	0.852	0.84	0.842	0.859	0.86	0.86	0.853	0.857	0.862	0.859	0.83	0.839	0.857	0.855	0.852	0.861	0.839	0.859	0.862	0.863	0.868	0.855	0.87	0.865	0.865	0.849	0.863	0.862	0.852	0.856	0.851	0.856	0.848	0.867	0.872	0.868	1	0.869	0.868	0.855	0.854	0.865	0.862	0.858	0.86	0.868	0.864	0.867	0.873	0.865	0.867	0.86	0.839	0.857	0.863	0.858	0.849	0.85	0.856	0.859	0.859	0.863	0.863	0.85	0.856	0.866	0.861	0.861	0.861	0.855	0.858	0.855	0.857	0.862	0.864	0.864	0.85	0.865	0.862	0.862
1yr-Het-2M	0.869	0.865	0.859	0.848	0.85	0.855	0.854	0.856	0.861	0.855	0.846	0.871	0.872	0.859	0.839	0.842	0.873	0.874	0.866	0.857	0.865	0.868	0.868	0.836	0.839	0.865	0.863	0.867	0.863	0.846	0.867	0.876	0.87	0.874	0.862	0.878	0.874	0.876	0.861	0.869	0.871	0.862	0.871	0.858	0.873	0.86	0.877	0.88	0.879	0.869	1	0.878	0.861	0.868	0.877	0.872	0.869	0.873	0.883	0.878	0.876	0.884	0.883	0.879	0.873	0.853	0.873	0.878	0.877	0.87	0.863	0.874	0.876	0.877	0.881	0.886	0.875	0.865	0.882	0.883	0.875	0.879	0.874	0.878	0.872	0.875	0.885	0.883	0.878	0.869	0.884	0.878	0.878
1yr-Het-4M	0.859	0.858	0.853	0.841	0.841	0.85	0.854	0.852	0.857	0.846	0.84	0.869	0.87	0.85	0.838	0.84	0.869	0.867	0.861	0.853	0.863	0.862	0.866	0.83	0.831	0.859	0.856	0.864	0.858	0.843	0.867	0.867	0.867	0.871	0.86	0.875	0.872	0.869	0.858	0.867	0.869	0.854	0.871	0.862	0.868	0.858	0.874	0.882	0.881	0.868	0.878	1	0.854	0.861	0.874	0.87	0.864	0.867	0.88	0.872	0.872	0.884	0.878	0.879	0.868	0.854	0.869	0.873	0.87	0.868	0.863	0.868	0.874	0.872	0.875	0.879	0.872	0.865	0.881	0.88	0.872	0.879	0.873	0.875	0.868	0.872	0.877	0.882	0.876	0.864	0.877	0.873	0.875
1yr-KO-11F	0.848	0.84	0.838	0.845	0.832	0.842	0.839	0.838	0.842	0.84	0.834	0.855	0.856	0.844	0.827	0.841	0.851	0.852	0.852	0.84	0.859	0.864	0.855	0.85	0.851	0.858	0.85	0.85	0.853	0.843	0.857	0.861	0.865	0.864	0.863	0.861	0.854	0.862	0.838	0.854	0.847	0.858	0.857	0.852	0.861	0.855	0.868	0.862	0.86	0.855	0.861	0.854	1	0.858	0.86	0.863	0.861	0.861	0.868	0.858	0.859	0.864	0.865	0.862	0.855	0.838	0.859	0.865	0.859	0.864	0.861	0.858	0.856	0.859	0.859	0.862	0.856	0.858	0.856	0.857	0.862	0.854	0.854	0.864	0.859	0.872	0.866	0.86	0.864	0.858	0.855	0.86	0.863
1yr-KO-1F	0.86	0.86	0.858	0.854	0.849	0.852	0.856	0.86	0.859	0.851	0.846	0.86	0.866	0.853	0.834	0.846	0.858	0.868	0.858	0.852	0.864	0.866	0.862	0.834	0.839	0.866	0.86	0.859	0.856	0.847	0.862	0.866	0.859	0.859	0.859	0.87	0.862	0.863	0.848	0.854	0.855	0.852	0.855	0.849	0.856	0.846	0.868	0.865	0.862	0.854	0.868	0.861	0.858	1	0.866	0.867	0.86	0.861	0.869	0.861	0.859	0.865	0.868	0.868	0.865	0.841	0.867	0.868	0.869	0.864	0.866	0.868	0.87	0.863	0.866	0.871	0.861	0.857	0.863	0.865	0.866	0.868	0.862	0.871	0.861	0.867	0.867	0.869	0.861	0.871	0.866	0.87	0.864
1yr-KO-2F	0.861	0.864	0.858	0.854	0.854	0.861	0.857	0.856	0.863	0.85	0.847	0.874	0.876	0.859	0.85	0.85	0.873	0.875	0.87	0.859	0.876	0.873	0.872	0.836	0.843	0.871	0.865	0.873	0.868	0.85	0.876	0.873	0.866	0.871	0.866	0.882	0.869	0.878	0.857	0.863	0.865	0.859	0.871	0.863	0.861	0.853	0.87	0.879	0.878	0.865	0.877	0.874	0.86	0.866	1	0.878	0.868	0.871	0.874	0.872	0.873	0.879	0.876	0.875	0.873	0.848	0.874	0.878	0.876	0.872	0.868	0.871	0.87	0.878	0.879	0.883	0.876	0.872	0.881	0.876	0.873	0.873	0.868	0.874	0.875	0.875	0.87	0.876	0.874	0.87	0.875	0.873	0.873
1yr-KO-3F	0.866	0.864	0.86	0.855	0.852	0.859	0.857	0.859	0.858	0.855	0.847	0.875	0.879	0.857	0.846	0.85	0.874	0.871	0.867	0.858	0.872	0.876	0.877	0.84	0.844	0.871	0.866	0.87	0.862	0.85	0.87	0.872	0.865	0.87	0.869	0.879	0.868	0.874	0.856	0.86	0.86	0.861	0.867	0.859	0.864	0.853	0.872	0.873	0.876	0.862	0.872	0.87	0.863	0.867	0.878	1	0.869	0.869	0.875	0.868	0.867	0.876	0.872	0.869	0.872	0.849	0.871	0.878	0.876	0.87	0.866	0.867	0.871	0.87	0.877	0.881	0.871	0.87	0.875	0.876	0.871	0.873	0.868	0.871	0.875	0.874	0.874	0.879	0.876	0.872	0.868	0.87	0.877
1yr-KO-8F	0.86	0.854	0.847	0.849	0.843	0.848	0.844	0.845	0.849	0.842	0.839	0.862	0.863	0.85	0.837	0.84	0.858	0.862	0.851	0.852	0.86	0.863	0.858	0.836	0.838	0.86	0.861	0.855	0.86	0.835	0.86	0.871	0.871	0.873	0.862	0.872	0.865	0.869	0.846	0.855	0.855	0.849	0.869	0.857	0.864	0.856	0.875	0.872	0.866	0.858	0.869	0.864	0.861	0.86	0.868	0.869	1	0.866	0.871	0.871	0.863	0.875	0.869	0.87	0.868	0.846	0.87	0.874	0.87	0.868	0.865	0.868	0.861	0.869	0.869	0.877	0.866	0.869	0.872	0.87	0.867	0.866	0.865	0.871	0.867	0.877	0.866	0.867	0.873	0.864	0.868	0.873	0.872
1yr-KO-9F	0.859	0.849	0.846	0.842	0.841	0.849	0.845	0.845	0.846	0.846	0.837	0.863	0.864	0.847	0.838	0.844	0.859	0.864	0.855	0.855	0.861	0.862	0.86	0.827	0.834	0.855	0.856	0.852	0.856	0.838	0.861	0.872	0.866	0.873	0.863	0.87	0.868	0.871	0.853	0.861	0.858	0.851	0.867	0.859	0.866	0.854	0.872	0.874	0.872	0.86	0.873	0.867	0.861	0.861	0.871	0.869	0.866	1	0.873	0.868	0.866	0.871	0.869	0.876	0.863	0.855	0.872	0.873	0.87	0.864	0.86	0.867	0.863	0.87	0.871	0.876	0.87	0.865	0.873	0.871	0.866	0.866	0.866	0.866	0.866	0.871	0.872	0.875	0.873	0.86	0.872	0.87	0.872
1yr-KO-13M	0.863	0.859	0.856	0.85	0.844	0.856	0.853	0.86	0.86	0.847	0.846	0.871	0.873	0.86	0.839	0.846	0.874	0.87	0.869	0.857	0.873	0.87	0.87	0.836	0.843	0.869	0.867	0.866	0.865	0.85	0.867	0.873	0.872	0.882	0.867	0.881	0.876	0.879	0.861	0.867	0.867	0.861	0.871	0.866	0.874	0.858	0.878	0.88	0.887	0.868	0.883	0.88	0.868	0.869	0.874	0.875	0.871	0.873	1	0.88	0.877	0.882	0.883	0.883	0.872	0.861	0.876	0.878	0.878	0.87	0.869	0.877	0.879	0.878	0.879	0.881	0.872	0.869	0.884	0.88	0.874	0.877	0.879	0.881	0.869	0.879	0.884	0.883	0.883	0.871	0.881	0.88	0.882
1yr-KO-14M	0.861	0.85	0.849	0.84	0.835	0.847	0.845	0.85	0.853	0.844	0.834	0.86	0.865	0.852	0.829	0.843	0.864	0.865	0.853	0.849	0.862	0.858	0.858	0.828	0.831	0.862	0.853	0.86	0.859	0.842	0.863	0.875	0.865	0.873	0.863	0.873	0.87	0.873	0.854	0.861	0.862	0.851	0.868	0.859	0.867	0.856	0.876	0.879	0.879	0.864	0.878	0.872	0.858	0.861	0.872	0.868	0.871	0.868	0.88	1	0.876	0.885	0.881	0.882	0.872	0.862	0.875	0.881	0.875	0.873	0.868	0.875	0.878	0.878	0.879	0.884	0.872	0.867	0.884	0.88	0.873	0.879	0.877	0.879	0.871	0.881	0.884	0.881	0.88	0.863	0.881	0.877	0.88
1yr-KO-15M	0.858	0.853	0.846	0.847	0.842	0.85	0.848	0.847	0.851	0.847	0.841	0.862	0.862	0.853	0.833	0.846	0.864	0.863	0.858	0.856	0.863	0.864	0.861	0.831	0.837	0.861	0.855	0.858	0.861	0.842	0.866	0.868	0.865	0.863	0.858	0.871	0.869	0.873	0.853	0.867	0.865	0.849	0.866	0.856	0.863	0.853	0.87	0.876	0.874	0.867	0.876	0.872	0.859	0.859	0.873	0.867	0.863	0.866	0.877	0.876	1	0.882	0.876	0.88	0.863	0.848	0.866	0.871	0.87	0.86	0.861	0.868	0.867	0.869	0.87	0.875	0.866	0.861	0.871	0.874	0.864	0.872	0.867	0.871	0.868	0.873	0.875	0.876	0.874	0.857	0.873	0.871	0.873
1yr-KO-16M	0.866	0.859	0.856	0.85	0.847	0.858	0.854	0.856	0.863	0.849	0.846	0.869	0.87	0.863	0.842	0.851	0.873	0.869	0.866	0.859	0.868	0.873	0.87	0.838	0.844	0.866	0.865	0.866	0.869	0.847	0.872	0.875	0.875	0.878	0.868	0.882	0.872	0.877	0.86	0.871	0.87	0.86	0.873	0.865	0.871	0.858	0.878	0.883	0.882	0.873	0.884	0.884	0.864	0.865	0.879	0.876	0.875	0.871	0.882	0.885	0.882	1	0.884	0.881	0.869	0.857	0.871	0.876	0.874	0.868	0.868	0.875	0.877	0.874	0.881	0.881	0.87	0.867	0.883	0.881	0.874	0.877	0.875	0.877	0.875	0.877	0.882	0.884	0.879	0.866	0.881	0.88	0.877
1yr-KO-6M	0.863	0.857	0.855	0.847	0.841	0.853	0.853	0.854	0.856	0.849	0.844	0.866	0.866	0.855	0.835	0.847	0.869	0.868	0.862	0.853	0.866	0.87	0.868	0.838	0.842	0.869	0.859	0.864	0.861	0.848	0.869	0.871	0.869	0.872	0.863	0.877	0.869	0.871	0.857	0.867	0.871	0.86	0.871	0.861	0.869	0.86	0.88	0.88	0.877	0.865	0.883	0.878	0.865	0.868	0.876	0.872	0.869	0.869	0.883	0.881	0.876	0.884	1	0.882	0.875	0.852	0.872	0.881	0.875	0.868	0.866	0.875	0.876	0.878	0.881	0.883	0.87	0.867	0.884	0.883	0.873	0.883	0.876	0.881	0.87	0.88	0.883	0.882	0.878	0.87	0.882	0.877	0.883
1yr-KO-7M	0.86	0.858	0.855	0.846	0.842	0.852	0.853	0.852	0.856	0.849	0.847	0.866	0.864	0.857	0.835	0.842	0.868	0.867	0.864	0.855	0.866	0.865	0.866	0.831	0.839	0.866	0.861	0.864	0.86	0.845	0.87	0.872	0.863	0.872	0.858	0.876	0.873	0.873	0.863	0.869	0.868	0.853	0.871	0.86	0.872	0.858	0.877	0.881	0.879	0.867	0.879	0.879	0.862	0.868	0.875	0.869	0.87	0.876	0.883	0.882	0.88	0.881	0.882	1	0.872	0.855	0.87	0.879	0.873	0.871	0.861	0.87	0.88	0.877	0.877	0.882	0.876	0.867	0.885	0.881	0.875	0.882	0.876	0.878	0.868	0.879	0.883	0.884	0.881	0.866	0.883	0.882	0.881
2yr-WT-1F	0.86	0.866	0.858	0.847	0.852	0.853	0.855	0.858	0.859	0.849	0.839	0.866	0.87	0.852	0.833	0.846	0.865	0.87	0.859	0.848	0.865	0.864	0.868	0.833	0.833	0.864	0.862	0.862	0.854	0.841	0.865	0.872	0.864	0.868	0.864	0.877	0.865	0.868	0.862	0.858	0.858	0.855	0.867	0.857	0.865	0.848	0.87	0.87	0.869	0.86	0.873	0.868	0.855	0.865	0.873	0.872	0.868	0.863	0.872	0.872	0.863	0.869	0.875	0.872	1	0.854	0.891	0.89	0.891	0.885	0.882	0.888	0.883	0.883	0.886	0.888	0.878	0.877	0.883	0.88	0.88	0.883	0.878	0.886	0.878	0.881	0.879	0.884	0.882	0.887	0.882	0.885	0.879
