Sample	2mo-WT-10F	2mo-WT-11F	2mo-WT-6F	2mo-WT-7F	2mo-WT-8F	2mo-WT-9F	2mo-WT-1M	2mo-WT-2M	2mo-WT-3M	2mo-WT-4M	2mo-WT-5M	2mo-Het-3F	2mo-Het-4F	2mo-Het-5F	2mo-Het-6F	2mo-Het-10M	2mo-Het-1M	2mo-Het-2M	2mo-Het-7M	2mo-Het-9M	2mo-KO-4F	2mo-KO-5F	2mo-KO-6F	2mo-KO-7F	2mo-KO-8F	2mo-KO-10M	2mo-KO-11M	2mo-KO-12M	2mo-KO-13M	2mo-KO-2M	2mo-KO-9M	1yr-WT-2F	1yr-WT-3F	1yr-WT-4F	1yr-WT-5F	1yr-WT-6F	1yr-WT-7F	1yr-WT-8F	1yr-WT-10M	1yr-WT-11M	1yr-WT-9M	1yr-Het-1F	1yr-Het-5F	1yr-Het-6F	1yr-Het-7F	1yr-Het-8F	1yr-Het-9F	1yr-Het-11M	1yr-Het-12M	1yr-Het-14M	1yr-Het-2M	1yr-Het-4M	1yr-KO-11F	1yr-KO-1F	1yr-KO-2F	1yr-KO-3F	1yr-KO-8F	1yr-KO-9F	1yr-KO-13M	1yr-KO-14M	1yr-KO-15M	1yr-KO-16M	1yr-KO-6M	1yr-KO-7M	2yr-WT-1F	2yr-WT-2F	2yr-WT-3F	2yr-WT-5F	2yr-WT-6F	2yr-WT-7F	2yr-WT-8F	2yr-WT-10M	2yr-WT-4M	2yr-WT-9M	2yr-Het-2F	2yr-Het-6F	2yr-Het-7F	2yr-Het-8F	2yr-Het-1M	2yr-Het-3M	2yr-Het-4M	2yr-Het-5M	2yr-KO-4F	2yr-KO-7F	2yr-KO-8F	2yr-KO-9F	2yr-KO-10M	2yr-KO-11M	2yr-KO-12M	2yr-KO-1M	2yr-KO-2M	2yr-KO-3M	2yr-KO-6M
2mo-KO-5F	0.877	0.874	0.872	0.87	0.868	0.875	0.871	0.876	0.872	0.868	0.863	0.886	0.886	0.872	0.856	0.86	0.885	0.887	0.88	0.866	0.887	1	0.887	0.866	0.872	0.888	0.882	0.884	0.874	0.866	0.886	0.865	0.864	0.868	0.864	0.872	0.864	0.872	0.853	0.857	0.858	0.865	0.858	0.854	0.862	0.854	0.869	0.867	0.869	0.862	0.868	0.862	0.864	0.866	0.873	0.876	0.863	0.862	0.87	0.858	0.864	0.873	0.87	0.865	0.864	0.844	0.866	0.87	0.87	0.861	0.867	0.866	0.866	0.861	0.871	0.87	0.863	0.86	0.864	0.864	0.867	0.863	0.859	0.868	0.872	0.867	0.864	0.869	0.871	0.868	0.864	0.865	0.864
2mo-KO-6F	0.871	0.876	0.872	0.867	0.867	0.873	0.869	0.874	0.874	0.867	0.86	0.88	0.884	0.865	0.853	0.86	0.878	0.883	0.877	0.864	0.882	0.887	1	0.854	0.856	0.885	0.884	0.88	0.871	0.859	0.879	0.865	0.861	0.867	0.865	0.875	0.865	0.87	0.856	0.858	0.858	0.862	0.858	0.849	0.857	0.847	0.867	0.87	0.871	0.859	0.868	0.866	0.855	0.862	0.872	0.877	0.858	0.86	0.87	0.858	0.861	0.87	0.868	0.866	0.868	0.843	0.871	0.872	0.872	0.866	0.866	0.866	0.866	0.868	0.874	0.875	0.863	0.862	0.87	0.868	0.866	0.864	0.861	0.867	0.872	0.866	0.863	0.872	0.87	0.873	0.867	0.866	0.864
2mo-KO-7F	0.842	0.843	0.836	0.849	0.834	0.849	0.838	0.841	0.836	0.839	0.837	0.848	0.851	0.841	0.831	0.842	0.85	0.855	0.846	0.837	0.862	0.866	0.854	1	0.891	0.86	0.855	0.847	0.848	0.857	0.853	0.831	0.844	0.842	0.856	0.832	0.826	0.833	0.82	0.829	0.822	0.861	0.827	0.82	0.828	0.838	0.849	0.833	0.835	0.83	0.836	0.83	0.85	0.834	0.836	0.84	0.836	0.827	0.836	0.828	0.831	0.838	0.838	0.831	0.833	0.805	0.827	0.828	0.831	0.832	0.837	0.833	0.825	0.827	0.831	0.832	0.828	0.823	0.822	0.822	0.839	0.818	0.812	0.837	0.834	0.839	0.826	0.829	0.835	0.84	0.822	0.829	0.83
2mo-KO-8F	0.846	0.844	0.839	0.85	0.836	0.855	0.842	0.845	0.844	0.842	0.84	0.851	0.856	0.85	0.838	0.842	0.854	0.86	0.852	0.845	0.866	0.872	0.856	0.891	1	0.864	0.858	0.851	0.849	0.862	0.857	0.839	0.843	0.84	0.852	0.839	0.831	0.836	0.827	0.833	0.831	0.861	0.831	0.825	0.833	0.839	0.852	0.836	0.836	0.839	0.839	0.831	0.851	0.839	0.843	0.844	0.838	0.834	0.843	0.831	0.837	0.844	0.842	0.839	0.833	0.814	0.834	0.833	0.834	0.831	0.846	0.841	0.829	0.829	0.834	0.835	0.83	0.832	0.828	0.827	0.838	0.823	0.822	0.839	0.838	0.845	0.834	0.834	0.834	0.84	0.83	0.833	0.836
2mo-KO-10M	0.875	0.876	0.87	0.87	0.868	0.875	0.874	0.881	0.876	0.874	0.867	0.88	0.884	0.871	0.855	0.862	0.884	0.885	0.878	0.867	0.882	0.888	0.885	0.86	0.864	1	0.884	0.884	0.877	0.869	0.886	0.862	0.856	0.865	0.864	0.868	0.86	0.864	0.853	0.858	0.857	0.861	0.855	0.854	0.859	0.851	0.865	0.865	0.866	0.857	0.865	0.859	0.858	0.866	0.871	0.871	0.86	0.855	0.869	0.862	0.861	0.866	0.869	0.866	0.864	0.842	0.866	0.868	0.866	0.857	0.862	0.87	0.864	0.863	0.867	0.87	0.858	0.855	0.864	0.863	0.866	0.857	0.853	0.865	0.863	0.861	0.862	0.865	0.866	0.871	0.862	0.865	0.866
2mo-KO-11M	0.867	0.871	0.869	0.866	0.863	0.871	0.87	0.873	0.873	0.866	0.864	0.882	0.88	0.868	0.85	0.859	0.88	0.884	0.881	0.866	0.878	0.882	0.884	0.855	0.858	0.884	1	0.881	0.873	0.859	0.884	0.857	0.851	0.858	0.858	0.865	0.856	0.861	0.857	0.855	0.852	0.857	0.848	0.847	0.855	0.84	0.859	0.86	0.863	0.855	0.863	0.856	0.85	0.86	0.865	0.866	0.861	0.856	0.867	0.853	0.855	0.865	0.859	0.861	0.862	0.84	0.859	0.862	0.864	0.853	0.857	0.858	0.857	0.863	0.863	0.865	0.852	0.852	0.861	0.858	0.862	0.852	0.852	0.86	0.865	0.857	0.856	0.863	0.866	0.861	0.856	0.856	0.862
2mo-KO-12M	0.874	0.877	0.873	0.866	0.87	0.878	0.877	0.876	0.876	0.869	0.861	0.887	0.885	0.87	0.856	0.86	0.886	0.884	0.884	0.868	0.879	0.884	0.88	0.847	0.851	0.884	0.881	1	0.873	0.863	0.885	0.857	0.851	0.859	0.854	0.872	0.861	0.859	0.853	0.858	0.855	0.863	0.856	0.85	0.853	0.844	0.859	0.867	0.866	0.852	0.867	0.864	0.85	0.859	0.873	0.87	0.855	0.852	0.866	0.86	0.858	0.866	0.864	0.864	0.862	0.839	0.86	0.864	0.866	0.86	0.861	0.861	0.859	0.863	0.87	0.869	0.859	0.854	0.864	0.871	0.863	0.859	0.853	0.864	0.863	0.863	0.859	0.869	0.86	0.865	0.856	0.864	0.861
2mo-KO-13M	0.871	0.871	0.863	0.869	0.862	0.879	0.863	0.87	0.87	0.87	0.868	0.877	0.879	0.866	0.855	0.865	0.872	0.88	0.879	0.876	0.872	0.874	0.871	0.848	0.849	0.877	0.873	0.873	1	0.859	0.874	0.858	0.856	0.857	0.855	0.865	0.856	0.861	0.846	0.857	0.854	0.855	0.855	0.848	0.853	0.84	0.856	0.865	0.866	0.861	0.863	0.858	0.853	0.856	0.868	0.862	0.86	0.856	0.865	0.859	0.861	0.869	0.861	0.86	0.854	0.838	0.854	0.857	0.858	0.85	0.852	0.856	0.853	0.86	0.859	0.861	0.851	0.854	0.86	0.855	0.852	0.855	0.847	0.857	0.855	0.856	0.856	0.856	0.861	0.856	0.854	0.857	0.86
2mo-KO-2M	0.853	0.855	0.848	0.856	0.844	0.855	0.856	0.857	0.85	0.854	0.849	0.865	0.863	0.849	0.841	0.845	0.865	0.871	0.863	0.85	0.868	0.866	0.859	0.857	0.862	0.869	0.859	0.863	0.859	1	0.866	0.839	0.837	0.844	0.85	0.844	0.843	0.84	0.839	0.843	0.84	0.852	0.836	0.829	0.836	0.829	0.846	0.845	0.849	0.839	0.846	0.843	0.843	0.847	0.85	0.85	0.835	0.838	0.85	0.842	0.842	0.847	0.848	0.845	0.841	0.825	0.841	0.844	0.845	0.836	0.848	0.847	0.843	0.841	0.842	0.846	0.836	0.834	0.84	0.838	0.848	0.834	0.83	0.845	0.845	0.845	0.842	0.848	0.842	0.847	0.838	0.84	0.845
2mo-KO-9M	0.876	0.879	0.872	0.867	0.865	0.874	0.88	0.882	0.879	0.876	0.865	0.886	0.885	0.873	0.855	0.864	0.884	0.893	0.883	0.868	0.883	0.886	0.879	0.853	0.857	0.886	0.884	0.885	0.874	0.866	1	0.865	0.856	0.861	0.861	0.871	0.865	0.864	0.86	0.86	0.859	0.862	0.861	0.849	0.857	0.848	0.862	0.866	0.87	0.859	0.867	0.867	0.857	0.862	0.876	0.87	0.86	0.861	0.867	0.863	0.866	0.872	0.869	0.87	0.865	0.845	0.864	0.869	0.873	0.862	0.865	0.869	0.869	0.865	0.872	0.875	0.861	0.862	0.867	0.87	0.867	0.862	0.857	0.868	0.869	0.868	0.863	0.872	0.871	0.873	0.868	0.864	0.868
