Sample	Uniq_Mapped_Reads	Gene_Rate	Ambiguity_Rate	No_Feature_Rate
2mo-WT-10F	16372249	81.15	 4.11	14.74
2mo-WT-11F	15343279	81.36	 4.04	14.60
2mo-WT-6F	16615030	83.59	 4.19	12.21
2mo-WT-7F	16688759	76.05	 3.87	20.09
2mo-WT-8F	14409067	77.23	 3.88	18.89
2mo-WT-9F	15815434	74.09	 3.85	22.06
2mo-WT-1M	16501047	81.14	 4.00	14.87
2mo-WT-2M	17875410	81.09	 3.88	15.03
2mo-WT-3M	16919219	79.05	 3.90	17.05
2mo-WT-4M	17321568	77.60	 3.88	18.52
2mo-WT-5M	16675780	75.17	 3.83	20.99
2mo-Het-3F	17134687	80.78	 4.00	15.21
2mo-Het-4F	17053063	81.59	 4.02	14.39
2mo-Het-5F	13700572	76.90	 3.92	19.19
2mo-Het-6F	16042900	73.12	 3.67	23.22
2mo-Het-10M	17355249	72.30	 3.65	24.05
2mo-Het-1M	15390432	82.08	 3.96	13.96
2mo-Het-2M	18642144	81.19	 3.90	14.90
2mo-Het-7M	17551946	78.84	 3.96	17.20
2mo-Het-9M	17272934	72.85	 3.66	23.49
2mo-KO-4F	16382307	80.64	 4.03	15.34
2mo-KO-5F	17526561	79.88	 4.03	16.09
2mo-KO-6F	14680314	80.76	 3.93	15.31
2mo-KO-7F	16926596	70.16	 4.05	25.79
2mo-KO-8F	16173400	72.25	 4.04	23.71
2mo-KO-10M	16087876	78.82	 3.90	17.29
2mo-KO-11M	14782758	79.75	 4.01	16.24
2mo-KO-12M	16199371	81.99	 4.05	13.96
2mo-KO-13M	14824552	75.00	 3.84	21.16
2mo-KO-2M	17576281	79.45	 3.90	16.66
2mo-KO-9M	18343959	82.50	 4.05	13.45
1yr-WT-2F	17298416	77.95	 3.75	18.30
1yr-WT-3F	14658644	76.65	 4.02	19.33
1yr-WT-4F	16236112	79.16	 4.02	16.82
1yr-WT-5F	15466401	77.39	 4.06	18.56
1yr-WT-6F	17046198	80.16	 3.91	15.93
1yr-WT-7F	14247664	82.17	 3.99	13.84
1yr-WT-8F	15518410	81.41	 3.92	14.67
1yr-WT-10M	13839846	85.24	 4.19	10.56
1yr-WT-11M	13679842	83.56	 4.28	12.17
1yr-WT-9M	15271321	83.67	 4.18	12.15
1yr-Het-1F	17554839	78.92	 4.31	16.77
1yr-Het-5F	15530330	77.23	 3.90	18.87
1yr-Het-6F	11802922	78.06	 3.84	18.10
1yr-Het-7F	13909217	81.04	 4.08	14.88
1yr-Het-8F	13319104	78.60	 4.12	17.28
1yr-Het-9F	16016812	78.60	 4.11	17.30
1yr-Het-11M	17713708	79.19	 3.91	16.90
1yr-Het-12M	16566834	80.91	 3.96	15.12
1yr-Het-14M	15001438	78.50	 3.97	17.53
1yr-Het-2M	15158429	82.76	 4.13	13.11
1yr-Het-4M	15690329	82.52	 4.06	13.42
1yr-KO-11F	15195932	76.42	 4.10	19.48
1yr-KO-1F	14866900	80.97	 4.14	14.89
1yr-KO-2F	14712961	79.43	 3.99	16.58
1yr-KO-3F	16261290	79.51	 3.94	16.54
1yr-KO-8F	13753152	77.34	 3.96	18.70
1yr-KO-9F	17415918	78.72	 3.98	17.30
1yr-KO-13M	15584300	82.43	 4.02	13.55
1yr-KO-14M	15222772	81.25	 4.01	14.74
1yr-KO-15M	14575101	80.10	 4.00	15.91
1yr-KO-16M	14662521	80.92	 4.08	15.01
1yr-KO-6M	15376813	81.65	 4.17	14.18
1yr-KO-7M	15574468	82.48	 4.22	13.30
2yr-WT-1F	15104610	80.31	 3.93	15.75
2yr-WT-2F	18499821	78.56	 3.79	17.65
2yr-WT-3F	17548308	80.25	 3.93	15.82
2yr-WT-5F	17412057	81.66	 4.08	14.26
2yr-WT-6F	16084476	82.75	 4.12	13.12
2yr-WT-7F	15364196	76.22	 3.87	19.91
2yr-WT-8F	17019475	79.19	 3.88	16.93
2yr-WT-10M	17928722	79.41	 3.82	16.77
2yr-WT-4M	17752454	84.33	 4.10	11.57
2yr-WT-9M	15447393	79.97	 3.99	16.04
2yr-Het-2F	17176402	81.33	 4.04	14.63
2yr-Het-6F	17882005	83.50	 4.15	12.35
2yr-Het-7F	13937158	80.34	 4.02	15.64
2yr-Het-8F	17172903	77.95	 3.84	18.21
2yr-Het-1M	17586721	82.53	 4.02	13.45
2yr-Het-3M	17928560	82.35	 4.16	13.49
2yr-Het-4M	15901281	81.50	 3.91	14.59
2yr-Het-5M	15704938	83.69	 4.13	12.19
2yr-KO-4F	15867419	81.00	 4.09	14.91
2yr-KO-7F	16094595	81.91	 4.30	13.79
2yr-KO-8F	14411987	80.51	 4.10	15.39
2yr-KO-9F	15691754	79.75	 4.20	16.05
2yr-KO-10M	15796332	81.96	 4.14	13.90
2yr-KO-11M	17013855	86.10	 4.37	 9.52
2yr-KO-12M	15424747	80.25	 3.91	15.83
2yr-KO-1M	16199966	83.06	 4.33	12.61
2yr-KO-2M	15489932	80.87	 4.05	15.08
2yr-KO-3M	15902643	80.27	 3.91	15.81
2yr-KO-6M	15857793	79.36	 3.94	16.70
