Sample	Pct_MT	Pct_Top1	Pct_Top10
2mo-WT-10F	0	5.7	16
2mo-WT-11F	0	5.6	16
2mo-WT-6F	0	6.1	16.3
2mo-WT-7F	0	5.8	16
2mo-WT-8F	0	5.5	15.8
2mo-WT-9F	0	5.4	16
2mo-WT-1M	0	5.6	15.6
2mo-WT-2M	0	5.6	15.5
2mo-WT-3M	0	5.5	15.6
2mo-WT-4M	0	5.6	15.6
2mo-WT-5M	0	5.3	15.7
2mo-Het-3F	0	5.2	15.3
2mo-Het-4F	0	5.3	15.4
2mo-Het-5F	0	5.5	15.8
2mo-Het-6F	0	5.1	15.4
2mo-Het-10M	0	5.4	15.5
2mo-Het-1M	0	5.7	16
2mo-Het-2M	0	5.6	15.7
2mo-Het-7M	0	5.3	15.8
2mo-Het-9M	0	4.7	14.9
2mo-KO-4F	0	5.6	16.4
2mo-KO-5F	0	5.6	16.5
2mo-KO-6F	0	5.3	15.8
2mo-KO-7F	0	8.3	22.3
2mo-KO-8F	0	7.8	21.4
2mo-KO-10M	0	5.3	15.7
2mo-KO-11M	0	5.1	15.7
2mo-KO-12M	0	5	15.5
2mo-KO-13M	0	4.8	15.5
2mo-KO-2M	0	7.2	18.3
2mo-KO-9M	0	5.3	15.7
1yr-WT-2F	0	5.1	15.2
1yr-WT-3F	0	6.1	17.2
1yr-WT-4F	0	5.6	16.3
1yr-WT-5F	0	5.9	17
1yr-WT-6F	0	5.2	15.4
1yr-WT-7F	0	5.5	15.6
1yr-WT-8F	0	5.3	15.4
1yr-WT-10M	0	4.9	15.6
1yr-WT-11M	0	6.5	17.2
1yr-WT-9M	0	6	16.4
1yr-Het-1F	0	6.6	19.6
1yr-Het-5F	0	5.3	16.2
1yr-Het-6F	0	5.2	15.5
1yr-Het-7F	0	5.4	15.9
1yr-Het-8F	0	6.4	17.5
1yr-Het-9F	0	5.8	16.8
1yr-Het-11M	0	5.3	15.6
1yr-Het-12M	0	5.1	15.3
1yr-Het-14M	0	6	16.4
1yr-Het-2M	0	5.8	16.3
1yr-Het-4M	0	5.4	15.6
1yr-KO-11F	0	5.8	17.7
1yr-KO-1F	0	5.3	16.2
1yr-KO-2F	0	5	15.9
1yr-KO-3F	0	5	15.8
1yr-KO-8F	0	4.9	16.1
1yr-KO-9F	0	5.1	16
1yr-KO-13M	0	5.6	15.9
1yr-KO-14M	0	5.7	16.2
1yr-KO-15M	0	6	16.6
1yr-KO-16M	0	6	16.8
1yr-KO-6M	0	5.8	16.8
1yr-KO-7M	0	5.9	16.8
2yr-WT-1F	0	5.7	16.1
2yr-WT-2F	0	2.3	12.3
2yr-WT-3F	0	5	15.6
2yr-WT-5F	0	5.4	16
2yr-WT-6F	0	5.2	15.8
2yr-WT-7F	0	4.8	16
2yr-WT-8F	0	5.5	16.7
2yr-WT-10M	0	5.7	15.8
2yr-WT-4M	0	6	15.8
2yr-WT-9M	0	5.6	16.1
2yr-Het-2F	0	4.7	15.3
2yr-Het-6F	0	5.2	15.7
2yr-Het-7F	0	5.2	15.9
2yr-Het-8F	0	4.1	15.2
2yr-Het-1M	0	5.2	15.4
2yr-Het-3M	0	5.2	15.7
2yr-Het-4M	0	5.6	15.6
2yr-Het-5M	0	5.4	15.7
2yr-KO-4F	0	4.7	15.7
2yr-KO-7F	0	5.8	17.3
2yr-KO-8F	0	4.9	15.8
2yr-KO-9F	0	5.7	16.9
2yr-KO-10M	0	5.6	16.5
2yr-KO-11M	0	6.1	16.9
2yr-KO-12M	0	5.6	15.9
2yr-KO-1M	0	4.1	16.1
2yr-KO-2M	0	5	16.2
2yr-KO-3M	0	5.4	15.7
2yr-KO-6M	0	5.5	16.3
